Ser Lindenberski, 45% t³uszczu;386
Ser Maaslandzki, 50% t³uszczu;355
Ser Mascarpone;460
Ser miêkki z zielonym pieprzem, 60% t³uszczu;366
Ser Moorbier, 40% t³uszczu;297
Ser owczy, Bryndza;314
Ser Pirenejski, 50% t³uszczu;356
Ser Pleœniowy, 60% t³uszczu;355
Ser Provolone;365
Ser Raclette, 48% t³uszczu;343
Ser Robiola, 75% t³uszczu;333
Ser Romadur, 20% t³uszczu;187
Ser Romadur, 30% t³uszczu;226
Ser T?te de Moine, 50% t³uszczu;386
Ser twarogowy chudy;99
Ser twarogowy pó³t³usty;133
Ser twarogowy t³usty;175
Ser typu „Feta”;215
Ser typu Roqefort (Niva);345
Ser Westberski, 45% t³uszczu;352
Ser, Brie pe³not³usty;329
Ser, Camembert pe³not³usty;291
Ser, Cheddar pe³not³usty;391
Ser, Edamski t³usty;313
Ser, Ementaler pe³not³usty;380
Ser, Gouda t³usty;316
Ser, Myœliwski pe³not³usty;346
Ser, Myœliwski t³usty;338
Ser, Parmezan;452
Ser, Rokpol pe³not³usty;363
Ser, Salami pe³not³usty;351
Ser, Trapistów pe³not³usty;367
Ser, Trapistów t³usty;351
Ser, Tyl¿ycki pe³not³usty;353
Ser, Tyl¿ycki t³usty;334
Serek homogenizowany, pe³not³usty;161
Serek homogenizowany, truskawkowy;168
Serek homogenizowany, waniliowy;159
Serek topiony, edamski;298
Serek twarogowy, ziarnisty;101
Serek typu ”Fromage” naturalny;379
Serek typu „Fromage” z czosnkiem;367
Œmietana, 12% t³uszczu;133
Œmietana, 18% t³uszczu;184
Œmietanka do kawy, 9% t³uszczu;107
Œmietanka kremowa, 30% t³uszczu;287
Baleron gotowany;244
Baton szynkowy z indyka;143
Baton z kurczaka;144
Kabanosy;326
Kabanosy z kurczaka;247
Kaszanka z kurczaka;204
Kie³basa delikatesowa z kurczaka;109
Kie³basa domowa;320
Kie³basa ja³owcowa z kurczaka;236
Kie³basa kanapkowa z kurczaka;179
Kie³basa krakowska, sucha;323
Kie³basa lubuska;249
Kie³basa mazurska z indyka;129
Kie³basa mortadela;205
Kie³basa mortadela z indyka;209
Kie³basa myœliwska, sucha;291
Kie³basa parówkowa;323
Kie³basa podlaska z kurczaka;232
Kie³basa podsuszana z kurczaka;162
Kie³basa podwawelska;247
Kie³basa rzeszowska;203
Kie³basa szynkowa z indyka;88
Kie³basa szynkowa z kurczaka;110
Kie³basa œl¹ska;210
Kie³basa toruñska;263
Kie³basa zwyczajna;209
Kie³basa ¿ywiecka;315
Kie³baski bawarskie;308
Kiszka kaszana jêczmienna;195
Kiszka krwista;404
Kiszka pasztetowa;384
Kurczak faszerowany, pieczony;199
Mielonka (Luncheon meat);171
Ozory w galarecie;141
Parówki popularne;342
Parówki z kurczaka;259
Pasta kanapkowa z kurczaka;156
Pasztet pieczony – sklepowy;390
Pasztet podlaski z kurczaka;228
Pasztet z kurczaka pieczony;214
Pieczeñ z kurczaka z pieczarkami;180
Polêdwica luksusowa;177
Polêdwica sopocka;165
Polêdwica w galarecie;101
Polêdwica z indyka;105
Polêdwica z piersi kurczaka;93
Salami luksusowe;540
Salami popularne;568
Salceson czarny;336
Salceson w³oski;318
Szynka delikatesowa z kurczaka;123
Szynka kanapkowa;102
Szynka wiejska;253
Szynka wieprzowa, gotowana;233
Szynka wo³owa, gotowana;107
Szynka z piersi kurczaka;98
Szynka z udŸca z kurczaka;117
Szynkówka wieprzowa;191
Szynkówka wo³owa;85
W¹trobianka;231
Wêdzonka wo³owa, gotowana;102
Miêso;
Baranina, biodrówka;194
Baranina, ³opatka;284
Baranina, mostek;381
Baranina, polêdwica;112
Baranina, sznycel;131
Baranina, udziec;232
Cielêcina, goleñ;98
Cielêcina, ³opatka;106
Cielêcina, mostek;131
Cielêcina, polêdwica;95
Cielêcina, sznyclówka;105
Cielêcina, udziec;108
Flaki;84
Grasica cielêca;99
Jagniêcina, udziec;160
Konina, miêso bez koœci;109
Konina, miêso z koœci¹;109
Koœci, wywar;5
Mózg barani;128
Mózg cielêcy;111
Mózg wieprzowy;139
Nerki wieprzowe;102
Nerki wo³owe;95
Nogi wieprzowe;274
Ozór barani;194
Ozór wieprzowy;165
P³uca baranie;95
Serca wieprzowe;111
Serce baranie;157
Serce cielêce;113
Serce wo³owe;117
W¹troba barania;133
W¹troba cielêca;124
W¹troba wieprzowa;130
W¹troba wo³owa;125
Wieprzowina, boczek bez koœci;510
Wieprzowina, golonka ze skór¹;294
Wieprzowina, karkówka;267
Wieprzowina, ³opatka;257
Wieprzowina, podgardle;630
Wieprzowina, schab œrodkowy z koœci¹;174
Wieprzowina, szynka surowa;261
Wieprzowina, ¿eberka;321
Wo³owina, ³ata;216
Wo³owina, ogon;225
Wo³owina, pieczeñ;117
Wo³owina, polêdwica;113
Wo³owina, rostbef;152
Wo³owina, rozbratel;157
Wo³owina, szponder;217
Gêœ, tuszka;339
Indyk, miêso z piersi, bez skóry;84
Indyk, miêso z piersi, ze skór¹;100
Indyk, podudzie bez skóry;100
Indyk, podudzie ze skór¹;142
Indyk, skóra;413
Indyk, skrzyd³a bez skóry;115
Indyk, skrzyd³a ze skór¹;168
Indyk, skrzyd³o;168
Indyk, tuszka;129
Indyk, udziec bez skóry;104
Indyk, udziec ze skór¹;131
Kaczka, bez skóry i koœci;99
Kaczka, tuszka;308
Królik, tuszka;156
Kura, tuszka;202
Kurczak, miêso z piersi bez skóry;99
Kurczak, pa³ka z kurczaka;158
Kurczak, skóra;379
Kurczak, skrzyde³ka;186
Kurczak, tuszka;158
Kurczak, udka bez skóry;125
Kurczak, udka ze skór¹;158
W¹tróbka z kurczaka;136
¯o³¹dek z kurczaka;114
Bia³ko jaja kurzego;49
Jaja kurze ca³e;139
Proszek jajeczny;576
¯ó³tko jaja kurzego;314
„Planta”, t³uszcz roœlinny;884
£ój barani;747
Margaryna miêkka, 45% t³uszczu;398
Margaryna miêkka, 50% t³uszczu;442
Margaryna miêkka, 60% t³uszczu;533
Margaryna miêkka, 70% t³uszczu;621
Margaryna miêkka, 80% t³uszczu;710
Margaryna twarda (kostkowa), 80% t³uszczu;710
Mas³o ekstra;735
Mas³o orzechowe;615
Mas³o œmietankowe;659
Olej arachidonowy;900
Olej kokosowy;883
Olej krokoszowy;884
Olej kukurydziany;884
Olej lniany;900
Olej palmowy;884
Olej rzepakowo-sojowy;884
Olej rzepakowy o obni¿onej zawartoœci kwasu erukowego;884
Olej rzepakowy t³oczony na zimno;884
Olej rzepakowy uniwersalny;884
Olej sezamowy;884
Olej s³onecznikowy;884
Olej sojowy;884
Olej z nasion bawe³ny;883
Olej z nasion bawe³ny;900
Olej z orzeszków ziemnych;884
Olej z pestek dyni;900
Olej z pestek winogron;884
Olej z pestek winogron;900
Olej z zarodków pszennych;884
Oliwa z oliwek;882
Skwarki;769
S³onina;797
Smalec;880
Smalec gêsi;896
T³uszcz mieszany roœlinno-zwierzêcy, 60% t³uszczu;573
Tran;899
